Release 14.7 - par P.20131013 (nt64)
Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

Tue Sep 29 20:57:38 2020


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       sys_tim011_mercury_map.ncd
OUTPUT FILE:      sys_tim011_mercury_pad.txt
PART TYPE:        xc3s200a
SPEED GRADE:      -4
PACKAGE:          vq100

Pinout by Pin Number:

+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name|Pin Usage |Pin Name              |Direction|IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage|Constraint|IO Register|Signal Integrity|
|P10       |           |DIFFSLR   |IO_L03N_3/LHCLK1      |UNUSED   |           |3             |          |         |           |         |       |          |           |                |
|P11       |           |          |VCCO_3                |         |           |3             |          |         |           |         |2.50   |          |           |                |
|P12       |           |DIFFMLR   |IO_L04P_3/LHCLK2      |UNUSED   |           |3             |          |         |           |         |       |          |           |                |
|P13       |           |DIFFSLR   |IO_L04N_3/IRDY2/LHCLK3|UNUSED   |           |3             |          |         |           |         |       |          |           |                |
|P14       |           |          |GND                   |         |           |              |          |         |           |         |       |          |           |                |
|P15       |SW<2>      |IBUF      |IO_L05P_3/TRDY2/LHCLK6|INPUT    |LVCMOS25*  |3             |          |         |           |BOTH     |       |UNLOCATED |YES        |NONE            |
|P16       |AN<1>      |IOB       |IO_L05N_3/LHCLK7      |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|P17       |           |          |VCCINT                |         |           |              |          |         |           |         |1.2    |          |           |                |
|P18       |           |          |GND                   |         |           |              |          |         |           |         |       |          |           |                |
|P19       |SW<0>      |IBUF      |IO_L06P_3             |INPUT    |LVCMOS25*  |3             |          |         |           |BOTH     |       |UNLOCATED |YES        |NONE            |
|P20       |AN<3>      |IOB       |IO_L06N_3             |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|P21       |           |DIFFMI_NDT|IP_3                  |UNUSED   |           |3             |          |         |           |         |       |          |           |                |
|P22       |           |          |VCCAUX                |         |           |              |          |         |           |         |2.5    |          |           |                |
|P23       |PMOD<0>    |IOB       |IO_L01P_2/M1          |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|P24       |PMOD<2>    |IOB       |IO_L02P_2/M2          |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|P25       |PMOD<1>    |IOB       |IO_L01N_2/M0          |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|P26       |           |          |VCCO_2                |         |           |2             |          |         |           |         |2.50   |          |           |                |
|P27       |AN<2>      |IOB       |IO_L02N_2/CSO_B       |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|P28       |AN<0>      |IOB       |IO_L03P_2/RDWR_B      |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|P29       |           |DIFFSTB   |IO_L03N_2/VS2         |UNUSED   |           |2             |          |         |           |         |       |          |           |                |
|P30       |           |DIFFMTB   |IO_L04P_2/VS1         |UNUSED   |           |2             |          |         |           |         |       |          |           |                |
|P31       |USR_BTN    |IBUF      |IO_L04N_2/VS0         |INPUT    |LVCMOS25*  |2             |          |         |           |IBUF     |       |UNLOCATED |NO         |NONE            |
|P32       |           |DIFFMTB   |IO_L05P_2             |UNUSED   |           |2             |          |         |           |         |       |          |           |                |
|P33       |SW<4>      |IBUF      |IO_L05N_2             |INPUT    |LVCMOS25*  |2             |          |         |           |BOTH     |       |UNLOCATED |YES        |NONE            |
|P34       |SW<3>      |IBUF      |IO_L06P_2/D7          |INPUT    |LVCMOS25*  |2             |          |         |           |BOTH     |       |UNLOCATED |YES        |NONE            |
|P35       |           |DIFFSTB   |IO_L06N_2/D6          |UNUSED   |           |2             |          |         |           |         |       |          |           |                |
|P36       |SW<6>      |IBUF      |IO_L07P_2/D5          |INPUT    |LVCMOS25*  |2             |          |         |           |BOTH     |       |UNLOCATED |YES        |NONE            |
|P37       |SW<5>      |IBUF      |IO_L07N_2/D4          |INPUT    |LVCMOS25*  |2             |          |         |           |BOTH     |       |UNLOCATED |YES        |NONE            |
|P38       |           |          |VCCINT                |         |           |              |          |         |           |         |1.2    |          |           |                |
|P39       |SW<7>      |IBUF      |IP_2/VREF_2           |INPUT    |LVCMOS25*  |2             |          |         |           |BOTH     |       |UNLOCATED |YES        |NONE            |
|P40       |EXT_CLK    |IBUF      |IO_L08P_2/GCLK14      |INPUT    |LVCMOS25*  |2             |          |         |           |IBUF     |       |UNLOCATED |NO         |NONE            |
|P41       |CLK        |IBUF      |IO_L08N_2/GCLK15      |INPUT    |LVCMOS25*  |2             |          |         |           |IBUF     |       |UNLOCATED |NO         |NONE            |
|P42       |           |          |GND                   |         |           |              |          |         |           |         |       |          |           |                |
|P43       |           |DIFFMTB   |IO_L09P_2/GCLK0       |UNUSED   |           |2             |          |         |           |         |       |          |           |                |
|P44       |PMOD<3>    |IOB       |IO_L09N_2/GCLK1       |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|P45       |           |          |VCCO_2                |         |           |2             |          |         |           |         |2.50   |          |           |                |
|P46       |BTN<0>     |IBUF      |IO_2/MOSI/CSI_B       |INPUT    |LVCMOS25*  |2             |          |         |           |BOTH     |       |UNLOCATED |YES        |NONE            |
|P47       |           |          |GND                   |         |           |              |          |         |           |         |       |          |           |                |
|P48       |           |DIFFMTB   |IO_L10P_2/INIT_B      |UNUSED   |           |2             |          |         |           |         |       |          |           |                |
|P49       |LED<0>     |IOB       |IO_L10N_2/D3          |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |       |UNLOCATED |YES        |NONE            |
|P50       |           |DIFFMTB   |IO_L11P_2/D2          |UNUSED   |           |2             |          |         |           |         |       |          |           |                |
|P51       |           |DIFFMTB   |IO_L12P_2/D0/DIN/MISO |UNUSED   |           |2             |          |         |           |         |       |          |           |                |
|P52       |           |DIFFSTB   |IO_L11N_2/D1          |UNUSED   |           |2             |          |         |           |         |       |          |           |                |
|P53       |           |DIFFSTB   |IO_L12N_2/CCLK        |UNUSED   |           |2             |          |         |           |         |       |          |           |                |
|P54       |           |          |DONE                  |         |           |              |          |         |           |         |       |          |           |                |
|P55       |           |          |VCCAUX                |         |           |              |          |         |           |         |2.5    |          |           |                |
|P56       |LED<1>     |IOB       |IO_L01P_1             |OUTPUT   |LVCMOS25*  |1             |12        |SLOW     |NONE**     |         |       |UNLOCATED |YES        |NONE            |
|P57       |BTN<1>     |IBUF      |IO_L01N_1             |INPUT    |LVCMOS25*  |1             |          |         |           |BOTH     |       |UNLOCATED |YES        |NONE            |
|P58       |           |          |GND                   |         |           |              |          |         |           |         |       |          |           |                |
|P59       |           |DIFFMLR   |IO_L02P_1/RHCLK0      |UNUSED   |           |1             |          |         |           |         |       |          |           |                |
|P60       |           |DIFFSLR   |IO_L02N_1/RHCLK1      |UNUSED   |           |1             |          |         |           |         |       |          |           |                |
|P61       |           |DIFFMLR   |IO_L03P_1/RHCLK2      |UNUSED   |           |1             |          |         |           |         |       |          |           |                |
|P62       |           |DIFFSLR   |IO_L03N_1/TRDY1/RHCLK3|UNUSED   |           |1             |          |         |           |         |       |          |           |                |
|P63       |           |          |GND                   |         |           |              |          |         |           |         |       |          |           |                |
|P64       |           |DIFFMLR   |IO_L04P_1/IRDY1/RHCLK6|UNUSED   |           |1             |          |         |           |         |       |          |           |                |
|P65       |           |DIFFSLR   |IO_L04N_1/RHCLK7      |UNUSED   |           |1             |          |         |           |         |       |          |           |                |
|P66       |           |          |VCCINT                |         |           |              |          |         |           |         |1.2    |          |           |                |
|P67       |           |          |VCCO_1                |         |           |1             |          |         |           |         |2.50   |          |           |                |
|P68       |           |DIFFMI_NDT|IP_1/VREF_1           |UNUSED   |           |1             |          |         |           |         |       |          |           |                |
|P69       |           |          |GND                   |         |           |              |          |         |           |         |       |          |           |                |
|P70       |           |DIFFMLR   |IO_L05P_1             |UNUSED   |           |1             |          |         |           |         |       |          |           |                |
|P71       |           |DIFFSLR   |IO_L05N_1             |UNUSED   |           |1             |          |         |           |         |       |          |           |                |
|P72       |           |DIFFMLR   |IO_L06P_1             |UNUSED   |           |1             |          |         |           |         |       |          |           |                |
|P73       |           |DIFFSLR   |IO_L06N_1             |UNUSED   |           |1             |          |         |           |         |       |          |           |                |
|P74       |           |          |GND                   |         |           |              |          |         |           |         |       |          |           |                |
|P75       |           |          |TDO                   |         |           |              |          |         |           |         |       |          |           |                |
|P76       |           |          |TCK                   |         |           |              |          |         |           |         |       |          |           |                |
|P77       |           |DIFFMTB   |IO_L01P_0/VREF_0      |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|P78       |           |DIFFSTB   |IO_L01N_0             |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|P79       |           |          |VCCO_0                |         |           |0             |          |         |           |         |2.50   |          |           |                |
|P80       |           |          |GND                   |         |           |              |          |         |           |         |       |          |           |                |
|P81       |           |          |VCCINT                |         |           |              |          |         |           |         |1.2    |          |           |                |
|P82       |           |IBUF      |IP_0/VREF_0           |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|P83       |           |DIFFMTB   |IO_L02P_0/GCLK4       |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|P84       |           |DIFFSTB   |IO_L02N_0/GCLK5       |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|P85       |           |DIFFMTB   |IO_L03P_0/GCLK6       |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|P86       |           |DIFFSTB   |IO_L03N_0/GCLK7       |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|P87       |           |          |GND                   |         |           |              |          |         |           |         |       |          |           |                |
|P88       |           |DIFFMTB   |IO_L04P_0/GCLK8       |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|P89       |           |DIFFSTB   |IO_L04N_0/GCLK9       |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|P90       |           |DIFFSTB   |IO_0/GCLK11           |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|P91       |           |          |GND                   |         |           |              |          |         |           |         |       |          |           |                |
|P92       |           |          |VCCAUX                |         |           |              |          |         |           |         |2.5    |          |           |                |
|P93       |           |DIFFMTB   |IO_L05P_0             |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|P94       |A_TO_G<0>  |IOB       |IO_L05N_0             |OUTPUT   |LVCMOS25*  |0             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|P95       |           |          |GND                   |         |           |              |          |         |           |         |       |          |           |                |
|P96       |           |          |VCCO_0                |         |           |0             |          |         |           |         |2.50   |          |           |                |
|P97       |           |IBUF      |IP_0                  |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|P98       |A_TO_G<1>  |IOB       |IO_L06P_0/VREF_0      |OUTPUT   |LVCMOS25*  |0             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|P99       |A_TO_G<6>  |IOB       |IO_L06N_0/PUDC_B      |OUTPUT   |LVCMOS25*  |0             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|P100      |           |          |PROG_B                |         |           |              |          |         |           |         |       |          |           |                |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+

* Default value.
** This default Pullup/Pulldown value can be overridden in Bitgen. 
****** Special VCCO requirements may apply. Please consult the device 
       family datasheet for specific guideline on VCCO requirements. 


